Exercise,Category,BodyPart,Equipment,Difficulty,Stimulus-to-Fatigue,Expected Time,Hypertrophy Rating
Parallel bars knee raise,Strength,Abdominals,Body Only,Intermediate,0.652352028,14.4808523,0.579860461
30 Landmine Twist,Strength,Abdominals,Body Only,Intermediate,0.825791097,15.26224231,0.60324292
Parallel bars leg raise,Strength,Abdominals,Body Only,Intermediate,0.708411622,13.31859969,0.501297224
Otis-up-,Strength,Abdominals,Body Only,Intermediate,0.77609743,15.6696918,0.589283405
30 Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,0.831652727,14.2417964,0.546247041
30 Spider Crawl,Strength,Abdominals,Body Only,Intermediate,0.694261204,14.63217398,0.566956821
Spider crunch,Strength,Abdominals,Body Only,Intermediate,0.749691919,14.58676245,0.54138874
Toe-touch,Strength,Abdominals,Body Only,Intermediate,0.73297564,14.71904523,0.56546804
30 Hanging Toes-To-Bar,Strength,Abdominals,Body Only,Intermediate,0.790514756,13.46140379,0.555553435
30 V-Up,Strength,Abdominals,Body Only,Intermediate,0.704272137,14.9888482,0.502306648
Cocoon crunch,Strength,Abdominals,Body Only,Intermediate,0.67853733,15.41717618,0.572225374
Bench oblique crunch,Strength,Abdominals,Body Only,Intermediate,0.73679896,13.23246779,0.505129885
Full moon-,Strength,Abdominals,Body Only,Intermediate,0.717637187,15.74703351,0.487305652
Push-up to side plank,Strength,Abdominals,Body Only,Intermediate,0.722717092,15.5816488,0.529478063
Tyler Holt V-Up,Strength,Abdominals,Body Only,Intermediate,0.741769004,15.45790305,0.600246924
Tyler Holt Plank,Strength,Abdominals,Body Only,Intermediate,0.790979175,15.77689281,0.514669502
Tyler Holt Hip-Dip,Strength,Abdominals,Body Only,Intermediate,0.717581249,14.98597247,0.555362089
Suicides,Strength,Abdominals,Body Only,Intermediate,0.70861303,15.133019,0.557488778
Holman Towel Straight Plank Jack,Strength,Abdominals,Body Only,Intermediate,0.718604574,14.46653166,0.51845376
Holman Towel Hill Climber,Strength,Abdominals,Body Only,Intermediate,0.716163907,15.47025623,0.546121854
Holman Towel Elbow Plank Jack,Strength,Abdominals,Body Only,Intermediate,0.700268712,14.71583107,0.598785697
Holman Towel Elbow Plank Pike,Strength,Abdominals,Body Only,Intermediate,0.763184475,15.52492286,0.53135743
Holman Towel Straight Plank Hand Reach,Strength,Abdominals,Body Only,Intermediate,0.747164338,15.08282198,0.542033685
Holman Towel Wax-On Wax-Off,Strength,Abdominals,Body Only,Intermediate,0.797071694,15.26008426,0.468234288
Holman Towel Wide Hill Climber,Strength,Abdominals,Body Only,Intermediate,0.727221672,14.63185153,0.514784882
Holman Towel Dirty Dog,Strength,Abdominals,Body Only,Intermediate,0.70342324,13.44170874,0.512291851
Holman Straight Plank Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,0.691579968,15.39517052,0.540264709
Holman Killer Abs,Strength,Abdominals,Body Only,Intermediate,0.826892795,14.52827652,0.528280909
Holman Straight Plank Split Jack,Strength,Abdominals,Body Only,Intermediate,0.784583205,14.72803959,0.520995626
Holman Elbow Plank Swim,Strength,Abdominals,Body Only,Intermediate,0.723272557,15.65946999,0.529945581
Holman Elbow Plank Saw,Strength,Abdominals,Body Only,Intermediate,0.689485021,14.82199317,0.502637749
Holman Feet-Elevated Straight Plank Toe-Tap Series,Strength,Abdominals,Body Only,Intermediate,0.662160441,15.68587247,0.480546177
Holman Elbow Plank Pike Pull,Strength,Abdominals,Body Only,Intermediate,0.668619697,15.34157354,0.479347015
Holman Hand-Elevated Walk-Over Push-Up,Strength,Abdominals,Body Only,Intermediate,0.734662447,15.11784199,0.520267122
Holman Hands-Elevated Hill Climber,Strength,Abdominals,Body Only,Intermediate,0.770832957,15.0847723,0.503137722
Holman Seated Pike,Strength,Abdominals,Body Only,Intermediate,0.716777833,17.65361546,0.480079207
Holman Feet-Elevated Up-Down Plank,Strength,Abdominals,Body Only,Intermediate,0.69622138,15.39267092,0.556971558
Holman Feet-Elevated Hand Tap,Strength,Abdominals,Body Only,Intermediate,0.70297706,14.460756,0.491828255
Holman Reverse Straight Plank with Alternating Heel Pull-In,Strength,Abdominals,Body Only,Intermediate,0.691099481,16.77072538,0.499465843
Holman Elbow Plank,Strength,Abdominals,Body Only,Intermediate,0.737557434,13.79145151,0.488421971
Holman Straight Plank Squat Thrust,Strength,Abdominals,Body Only,Intermediate,0.768275395,15.73957454,0.621465434
Holman Alternating Single-Leg Pike,Strength,Abdominals,Body Only,Intermediate,0.709771907,14.97579302,0.50255981
Holman Knee Pull-In Crunch,Strength,Abdominals,Body Only,Intermediate,0.767205888,16.55413749,0.492552562
Holman Straight Plank with Hand Tap,Strength,Abdominals,Body Only,Intermediate,0.831689863,14.55944281,0.558519077
Holman Straight Plank with Dirty Dog,Strength,Abdominals,Body Only,Intermediate,0.749297398,15.67789748,0.531156
Holman Elbow Plank Roll,Strength,Abdominals,Body Only,Intermediate,0.825421962,16.93031415,0.533635917
Holman Froggy Push-Up,Strength,Abdominals,Body Only,Intermediate,0.679259704,14.51350256,0.540523197
Holman Straight Plank Hand Tap to Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,0.749155894,13.71902645,0.485527824
Holman In-Out Straight Plank,Strength,Abdominals,Body Only,Intermediate,0.741180926,14.59707954,0.550640879
Holman Bicycle,Strength,Abdominals,Body Only,Intermediate,0.816337971,14.99118269,0.58822468
Holman Alternating Diagonal Knee Pull-in,Strength,Abdominals,Body Only,Intermediate,0.794775024,15.54482261,0.512302738
Holman Elbow Plank with Step-Out,Strength,Abdominals,Body Only,Intermediate,0.618949334,13.72644362,0.53073128
Holman Alternating Slow L-Raise,Strength,Abdominals,Body Only,Intermediate,0.688714437,13.75236172,0.503615265
Holman Feet-Elevated Plank with Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,0.748488846,15.22716662,0.512471448
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,Strength,Abdominals,Body Only,Intermediate,0.731196405,14.8608246,0.519612266
Holman Feet-Elevated Up-Down Elbow Plank,Strength,Abdominals,Body Only,Intermediate,0.77903855,14.88397196,0.564822703
Holman Feet-Elevated Plank Pike Pull,Strength,Abdominals,Body Only,Intermediate,0.670454434,16.23066348,0.569034245
Holman Feet-Elevated Alternating Single-Leg Hip Raise,Strength,Abdominals,Body Only,Intermediate,0.731475871,14.1753165,0.562103697
Holman Feet-Elevated Plank Pike Pull to Push-Up,Strength,Abdominals,Body Only,Intermediate,0.81049221,14.10497029,0.566707905
Holman Standing Heel Click,Strength,Abdominals,Body Only,Intermediate,0.693742949,12.97370432,0.59578276
Holman Straight Plank Right-Left Jack to Split Jack,Strength,Abdominals,Body Only,Intermediate,0.791295788,14.24238915,0.571725051
Holman Elbow Plank Jack to Ninja Knees,Strength,Abdominals,Body Only,Intermediate,0.731898456,14.93046424,0.523287943
Holman Right Side Elbow Plank with Left Leg Swing,Strength,Abdominals,Body Only,Intermediate,0.705355815,15.60446372,0.511667011
Holman Left Side Elbow Plank with Right Leg Swing,Strength,Abdominals,Body Only,Intermediate,0.759532142,15.06675208,0.57671146
Holman Straight Plank with Alternating Diagonal Sit-Back,Strength,Abdominals,Body Only,Intermediate,0.729519499,14.41739215,0.585320325
Holman Boat Press with Leg Extension,Strength,Abdominals,Body Only,Intermediate,0.723292524,15.18125245,0.544657266
Holman Shoulder Tap to Dirty Dog,Strength,Abdominals,Body Only,Intermediate,0.731207054,14.7161663,0.522250451
Holman Standing Russian Twist,Strength,Abdominals,Body Only,Intermediate,0.68170882,13.41278534,0.593178647
Holman Hovering Plank with Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,0.768452546,15.10473518,0.610678336
Holman Elbow Plank to Stacked Plank Hip Drop,Strength,Abdominals,Body Only,Intermediate,0.714676048,14.0319857,0.472567699
Holman Elbow Plank to Walk-Up Pike,Strength,Abdominals,Body Only,Intermediate,0.740118204,13.82063477,0.549687406
Holman Hill Climber,Strength,Abdominals,Body Only,Intermediate,0.709286509,14.31604674,0.491847604
Holman Straight Plank Pike to Renegade Row,Strength,Abdominals,Body Only,Intermediate,0.77698882,14.69533909,0.525220484
Holman Alternating Hip Drop to Push-Up,Strength,Abdominals,Body Only,Intermediate,0.64966583,13.90462201,0.462638863
Holman Crab Kick,Strength,Abdominals,Body Only,Intermediate,0.726364894,15.28264675,0.499422648
Holman Wounded Bear Crawl,Strength,Abdominals,Body Only,Intermediate,0.769859426,15.25659822,0.536797406
Holman Alternating Crab Reach,Strength,Abdominals,Body Only,Intermediate,0.705595981,15.57577994,0.480384679
Holman Hovering Panther Core Stabilizer,Strength,Abdominals,Body Only,Intermediate,0.706450308,14.99625272,0.569468206
Holman Burpee to Forward Lunge,Strength,Abdominals,Body Only,Intermediate,0.721133442,15.8771998,0.497273117
Holman Seated Knee Pull-In Series,Strength,Abdominals,Body Only,Intermediate,0.717949017,16.05972708,0.478089972
Holman Elbow Plank Pike,Strength,Abdominals,Body Only,Intermediate,0.77411241,15.04087249,0.511061241
Holman Elbow Plank Jack to Straight Plank Split Jack,Strength,Abdominals,Body Only,Intermediate,0.675759284,14.25307642,0.536391645
Holman Boat Pull-Over,Strength,Abdominals,Body Only,Intermediate,0.78491476,15.11484551,0.516001123
Holman Squat Pulse to Plyometric Jump,Strength,Abdominals,Body Only,Intermediate,0.706159728,14.15538738,0.529272169
Holman Hands Down Heel Click,Strength,Abdominals,Body Only,Intermediate,0.695720371,14.94837379,0.45047382
Holman Straight Plank to Kick-Up,Strength,Abdominals,Body Only,Intermediate,0.700964623,14.30209199,0.545190148
Holman Hands-Elevated Split Jack,Strength,Abdominals,Body Only,Intermediate,0.765792594,15.80862419,0.530638737
Holman Feet-Elevated Plank Reach,Strength,Abdominals,Body Only,Intermediate,0.755759918,15.68221319,0.555500762
Holman Hand-Elevated Side Plank Semicircle,Strength,Abdominals,Body Only,Intermediate,0.717806584,16.37641126,0.518980674
Holman Hands-Elevated Straight Plank Pike,Strength,Abdominals,Body Only,Intermediate,0.754719788,14.05651872,0.543732983
Holman Alternating Rolling Elbow Plank,Strength,Abdominals,Body Only,Intermediate,0.754522285,15.88188885,0.554171896
Holman Elbow Plank Jack,Strength,Abdominals,Body Only,Intermediate,0.754081103,13.96700263,0.574087069
Holman Squat Thrust to Alternating Knee-In,Strength,Abdominals,Body Only,Intermediate,0.826633848,15.00631141,0.573147942
Holman Supine Double Pike,Strength,Abdominals,Body Only,Intermediate,0.696014461,14.96507872,0.55226953
Holman Elbow Plank Alternating Pike,Strength,Abdominals,Body Only,Intermediate,0.748255426,15.67584413,0.582090709
Holman Seated Killer Abs,Strength,Abdominals,Body Only,Intermediate,0.717412129,15.55216137,0.488117954
Holman Side Plank Hip Drop,Strength,Abdominals,Body Only,Intermediate,0.71377661,15.70020083,0.44914778
Holman Wide Hill Climber,Strength,Abdominals,Body Only,Intermediate,0.69211402,16.25236805,0.578531666
Holman Straight-Legged Bicycle,Strength,Abdominals,Body Only,Intermediate,0.752129458,16.23787361,0.481618971
Holman Stair Toe Tap,Strength,Abdominals,Body Only,Intermediate,0.723370933,15.6236091,0.634406588
Holman Elbow Plank Ninja,Strength,Abdominals,Body Only,Intermediate,0.725777123,14.43158787,0.54214243
Holman Traveling Stair Climb Push-Up,Strength,Abdominals,Body Only,Intermediate,0.763160067,15.46485136,0.545568529
Holman Hands-Elevated Burpee,Strength,Abdominals,Body Only,Intermediate,0.726058871,15.91340818,0.595049606
Holman Straight Plank Donkey Kick,Strength,Abdominals,Body Only,Intermediate,0.752212905,15.21722369,0.513333848
Holman Feet-Elevated Straight Plank Pike Pull,Strength,Abdominals,Body Only,Intermediate,0.746511402,13.94814739,0.579764527
Holman Towel Burpee,Strength,Abdominals,Body Only,Intermediate,0.802509724,13.59458893,0.502053948
Holman Elbow Plank to Alternating Side Plank Crunch,Strength,Abdominals,Body Only,Intermediate,0.736991427,16.13616863,0.511941971
Holman Straight-Legged Hip Raise,Strength,Abdominals,Body Only,Intermediate,0.733027598,14.78508002,0.490309278
Holman Feet-Elevated Hill Climber,Strength,Abdominals,Body Only,Intermediate,0.707501457,16.23689905,0.517101349
Holman Ninja Knee Hill Climber,Strength,Abdominals,Body Only,Intermediate,0.721404965,15.00299187,0.5439916
Holman Feet-Elevated Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,0.741816936,15.64790849,0.5318186
Holman Feet-Elevated Hip Raise,Strength,Abdominals,Body Only,Intermediate,0.773015685,14.54821829,0.537692145
Holman Left Hand Right Foot Crab Reach,Strength,Abdominals,Body Only,Intermediate,0.728412275,14.21830023,0.511465505
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,Strength,Abdominals,Body Only,Intermediate,0.751008128,16.17291123,0.512233687
Holman Right Hand Left Foot Sleeping Crab,Strength,Abdominals,Body Only,Intermediate,0.82103831,14.6022732,0.571972698
Holman Left Hand Right Foot Sleeping Crab,Strength,Abdominals,Body Only,Intermediate,0.666135555,14.88446246,0.535968721
Holman Straight Plank with Alternating Leg Kick-Under,Strength,Abdominals,Body Only,Intermediate,0.777515302,15.66886941,0.473380507
Holman Right Hip Drop Push-Up,Strength,Abdominals,Body Only,Intermediate,0.697246246,14.93281054,0.579960364
Holman Right Side Diagonal Burpee,Strength,Abdominals,Body Only,Intermediate,0.767254705,14.9759596,0.515388749
Holman Left Hip Drop Push-Up,Strength,Abdominals,Body Only,Intermediate,0.644456865,15.42567225,0.500156171
Holman Right Leg 7-Up Crunch,Strength,Abdominals,Body Only,Intermediate,0.708603234,14.96403883,0.510885759
Holman Left Leg 7-Up Crunch,Strength,Abdominals,Body Only,Intermediate,0.71133778,15.28847056,0.564697584
Holman Straight Plank Jack,Strength,Abdominals,Body Only,Intermediate,0.687778192,14.18776319,0.54890403
Holman Feet-Elevated Couch Hill Climber,Strength,Abdominals,Body Only,Intermediate,0.715716776,16.22489834,0.560672221
Holman Feet-Elevated Right Side Plank,Strength,Abdominals,Body Only,Intermediate,0.711727886,15.66894012,0.528978408
Holman Alternating Up-Down Plank to Push-Up,Strength,Abdominals,Body Only,Intermediate,0.770013198,14.72912684,0.537578614
Holman Straight Plank Pike,Strength,Abdominals,Body Only,Intermediate,0.763567955,15.95328089,0.538912559
Holman Ninja Knee Straight Plank,Strength,Abdominals,Body Only,Intermediate,0.703470904,14.57516895,0.472050535
Holman Reverse Crunch to Hip Raise,Strength,Abdominals,Body Only,Intermediate,0.719941652,13.94815239,0.493888568
Holman Straight Plank Quick Reach,Strength,Abdominals,Body Only,Intermediate,0.692076571,15.00534651,0.492527777
Holman Alternating Diagonal Straight Plank,Strength,Abdominals,Body Only,Intermediate,0.714126209,14.57726851,0.487857936
Holman Feet-Elevated Left Side Plank,Strength,Abdominals,Body Only,Intermediate,0.666595777,14.51291486,0.582766143
Holman Right Hand Left Foot Crab Reach,Strength,Abdominals,Body Only,Intermediate,0.650094105,14.14403896,0.478045577
Holman Low-Impact Crab Kick,Strength,Abdominals,Body Only,Intermediate,0.725007541,15.19073798,0.526609667
Holman Alternating Crab Flip to Froggy Push-Up,Strength,Abdominals,Body Only,Intermediate,0.764203411,16.81495719,0.541332255
Holman High-Impact Crab Kick,Strength,Abdominals,Body Only,Intermediate,0.739314649,13.40477081,0.538356153
Holman Single-Leg Right Pike,Strength,Abdominals,Body Only,Intermediate,0.658357487,14.63056984,0.54148986
Holman Single-Leg Left Pike,Strength,Abdominals,Body Only,Intermediate,0.774681484,14.30902696,0.443913702
Holman Shoulder Tap to Hand Tap,Strength,Abdominals,Body Only,Intermediate,0.719881527,16.05133732,0.536716277
Holman Towel Reverse Plank Jack,Strength,Abdominals,Body Only,Intermediate,0.735223062,16.25779173,0.423053436
Holman Side-to-Side Twist,Strength,Abdominals,Body Only,Intermediate,0.72593693,14.93274022,0.48840335
Holman Crab Kick with Hop,Strength,Abdominals,Body Only,Intermediate,0.744639888,15.23424876,0.50944116
Holman Crab Reach to Crab Kick,Strength,Abdominals,Body Only,Intermediate,0.772370418,14.81191175,0.547533171
Holman Wide Squat Side-to-Side Obliques,Strength,Abdominals,Body Only,Intermediate,0.679980411,17.20809197,0.483861865
Holman Side Plank Crunch,Strength,Abdominals,Body Only,Intermediate,0.787106254,15.05984083,0.469725442
Total Fitness Ab Tuck,Strength,Abdominals,Body Only,Intermediate,0.721065922,15.23406335,0.551134333
Active hang from bar,Strength,Abdominals,Body Only,Intermediate,0.739270939,16.08732319,0.504030486
Cat-cow,Strength,Abdominals,Body Only,Intermediate,0.703532657,15.67831774,0.533886939
Crab walk,Strength,Abdominals,Body Only,Intermediate,0.74097789,14.98403252,0.547559131
Lunge with overhead reach,Strength,Abdominals,Body Only,Intermediate,0.709712595,15.5606524,0.572338128
Hang from bar,Strength,Abdominals,Body Only,Intermediate,0.758771669,16.07751389,0.494431171
Total Fitness Hollow Hold,Strength,Abdominals,Body Only,Intermediate,0.74290139,15.51915839,0.561186594
Total Fitness Side Plank,Strength,Abdominals,Body Only,Intermediate,0.749173192,14.77841297,0.521661667
Side plank pulse,Strength,Abdominals,Body Only,Intermediate,0.679275345,13.74011848,0.501053799
Total Fitness Spider Crawl (Unweighted),Strength,Abdominals,Body Only,Intermediate,0.730058916,13.8154403,0.526087894
Total Fitness V-Up,Strength,Abdominals,Body Only,Intermediate,0.691385412,13.74856514,0.530428871
MetaBurn Alternating Knee-to-Elbow Mountain Climber,Strength,Abdominals,Body Only,Intermediate,0.710754836,14.2449532,0.508217357
Alternating sit-through with crunch-,Strength,Abdominals,Body Only,Intermediate,0.76676099,14.77735658,0.520594757
MetaBurn Alternating Toe-Touch,Strength,Abdominals,Body Only,Intermediate,0.749982139,14.10473524,0.481431369
MetaBurn Janda Sit-Up,Strength,Abdominals,Body Only,Intermediate,0.652974494,15.33840693,0.468355828
MetaBurn Oblique Roll Crunch,Strength,Abdominals,Body Only,Intermediate,0.748519525,14.80584153,0.574939604
MetaBurn Plank Jack,Strength,Abdominals,Body Only,Intermediate,0.787254916,16.16668885,0.464840604
MetaBurn Plank To Alternating Side Plank,Strength,Abdominals,Body Only,Intermediate,0.726011252,15.43277567,0.541025781
MetaBurn Plank Up-Down,Strength,Abdominals,Body Only,Intermediate,0.683809106,14.00074807,0.53865555
MetaBurn Plank Wiper,Strength,Abdominals,Body Only,Intermediate,0.732196106,16.24356,0.472844841
MetaBurn Plank With Alternating Toe-Touch,Strength,Abdominals,Body Only,Intermediate,0.744638118,17.02386654,0.525333283
MetaBurn Plyo Push-Up,Strength,Abdominals,Body Only,Intermediate,0.753496382,14.93106266,0.522518096
MetaBurn Psycho Crunch,Strength,Abdominals,Body Only,Intermediate,0.734084678,14.84174366,0.505673545
MetaBurn Scapular Retraction Plank,Strength,Abdominals,Body Only,Intermediate,0.71362702,14.48114292,0.523639198
MetaBurn Scapular Retraction Plank Hold,Strength,Abdominals,Body Only,Intermediate,0.724667504,17.49200237,0.509024422
MetaBurn Scorpion,Strength,Abdominals,Body Only,Intermediate,0.722452057,15.13515117,0.554576626
MetaBurn Side Crawler,Strength,Abdominals,Body Only,Intermediate,0.732892389,15.54533709,0.577698974
MetaBurn Side Plank Oblique Crunch,Strength,Abdominals,Body Only,Intermediate,0.671417909,14.50574299,0.517892119
MetaBurn Sit-Through,Strength,Abdominals,Body Only,Intermediate,0.802783749,13.90745052,0.555330902
MetaBurn Sit-Up To V-Up,Strength,Abdominals,Body Only,Intermediate,0.667724481,16.21404152,0.549482424
MetaBurn Sit-Up With Rotation,Strength,Abdominals,Body Only,Intermediate,0.738887812,15.87841624,0.473556209
MetaBurn Split-Leg Crunch,Strength,Abdominals,Body Only,Intermediate,0.697423794,14.84618173,0.515216234
MetaBurn Tabletop Hip Thrust,Strength,Abdominals,Body Only,Intermediate,0.766827381,15.52492741,0.550987746
MetaBurn Tabletop With Russian Kick,Strength,Abdominals,Body Only,Intermediate,0.710606211,14.61727423,0.514659612
MetaBurn Toe Driver Abs,Strength,Abdominals,Body Only,Intermediate,0.777007171,13.21713104,0.529934439
MetaBurn-V-Up,Strength,Abdominals,Body Only,Intermediate,0.748993999,14.55212985,0.493008
X-body V-up,Strength,Abdominals,Body Only,Intermediate,0.733778192,12.80614345,0.503032492
MetaBurn Swivel Crunch,Strength,Abdominals,Body Only,Intermediate,0.772859385,15.53844815,0.547236271
Robertson Core-Engaged Dead Bug,Strength,Abdominals,Body Only,Intermediate,0.770466661,16.21185336,0.551382804
FYR2 Double-Under,Strength,Abdominals,Body Only,Intermediate,0.768999359,15.78762027,0.572183203
FYR2 Fire Feet with Burpee Tuck Jump Drill,Strength,Abdominals,Body Only,Intermediate,0.684738458,14.77735295,0.522564345
FYR2 Flutter Kick,Strength,Abdominals,Body Only,Intermediate,0.711462132,15.59848094,0.501010741
FYR2 Half-Moon,Strength,Abdominals,Body Only,Intermediate,0.78027072,13.19245155,0.436823247
FYR2 Leopard Crawl,Strength,Abdominals,Body Only,Intermediate,0.782356208,15.74611725,0.599047932
FYR2 Plank Alternating Front Step,Strength,Abdominals,Body Only,Intermediate,0.67529666,14.42469059,0.550244601
FYR2 Shoulder Tap,Strength,Abdominals,Body Only,Intermediate,0.666462786,14.66560734,0.540832073
Hand shift plank,Strength,Abdominals,Body Only,Intermediate,0.673530332,14.69941784,0.452397578
Cross-body plank march,Strength,Abdominals,Body Only,Intermediate,0.704431454,15.48167928,0.47777962
Bent-knee Copenhagen hip adduction,Strength,Abdominals,Body Only,Intermediate,0.724910133,15.41845402,0.563646413
Copenhagen plank,Strength,Abdominals,Body Only,Intermediate,0.694429508,15.29969074,0.629872619
ACFT Hanging leg tuck,Strength,Abdominals,Body Only,Intermediate,0.709324146,15.30376991,0.495981834
Alternating hanging knee raise,Strength,Abdominals,Body Only,Intermediate,0.703181438,14.0605123,0.527942294
Plank To Sphinx,Strength,Abdominals,Body Only,Intermediate,0.651599091,15.83158372,0.493027941
Twisting Mountain Climbers,Strength,Abdominals,Body Only,Intermediate,0.722119144,15.28810582,0.563735877
Jack Knives,Strength,Abdominals,Body Only,Intermediate,0.789784026,15.69467895,0.554462615
Hanging Leg Raises,Strength,Abdominals,Body Only,Intermediate,0.653185529,14.86133276,0.537152875
Fire Hydrant,Strength,Abductors,Body Only,Beginner,0.868112653,13.92645894,0.39372051
Monster Walk,Strength,Abductors,Body Only,Intermediate,0.780252994,15.69665127,0.578254872
Side-To-Side Adductor Stretch,Strength,Adductors,Body Only,Intermediate,0.787911166,16.64016533,0.505443305
Dynamic pigeon stretch,Strength,Abductors,Body Only,Intermediate,0.691384981,15.63645157,0.526895541
Cross-over jack,Strength,Abductors,Body Only,Intermediate,0.759687591,14.93778823,0.585979691
Traveling thigh killa,Strength,Abductors,Body Only,Intermediate,0.785052004,14.40664431,0.549562706
FYR Thigh Killa,Strength,Abductors,Body Only,Intermediate,0.812090646,16.4164337,0.44527205
HM Frog Stretch,Strength,Abductors,Body Only,Intermediate,0.835264128,15.04301963,0.491084368
HM Kick-Out,Strength,Abductors,Body Only,Intermediate,0.699928057,15.78790208,0.438075976
HM Left Leg Swing,Strength,Adductors,Body Only,Intermediate,0.742623204,15.08829879,0.550927581
UNS Foam Roll Adductor,Strength,Adductors,Body Only,Intermediate,0.692394306,15.36492966,0.507874218
MetaBurn Groiner,Strength,Abductors,Body Only,Intermediate,0.781291589,14.72600235,0.562260784
Side-lying leg adduction scissor,Strength,Adductors,Body Only,Intermediate,0.697177933,14.60148966,0.52908959
TBS Chin-Up,Strength,Biceps,Body Only,Intermediate,0.71414963,15.75769378,0.479988621
Pull-up - Gethin Variation,Strength,Biceps,Body Only,Intermediate,0.704610131,13.97577171,0.548809352
UN Pull-Up Supinated,Strength,Biceps,Body Only,Intermediate,0.673257229,15.37010084,0.528344921
UN Pull-Up Pronated,Strength,Biceps,Body Only,Intermediate,0.794896903,15.62393216,0.592118142
UN Pull-Up Neutral,Strength,Biceps,Body Only,Intermediate,0.772144208,14.25040909,0.461891777
Standing Calf Raise,Strength,Calves,Body Only,Intermediate,0.739548675,15.08806327,0.558245688
Standing calf raise-,Strength,Calves,Body Only,Intermediate,0.810240232,17.29885878,0.484751901
HM Left Calf-Spike Sumo Pulse,Strength,Calves,Body Only,Intermediate,0.766962201,14.12286396,0.586489576
Pushups,Strength,Chest,Body Only,Intermediate,0.750334678,15.55393077,0.522932617
Incline Push-Up,Strength,Chest,Body Only,Intermediate,0.790809741,16.01342511,0.560485334
Hands-elevated push-up,Strength,Chest,Body Only,Beginner,0.958655252,14.18090197,0.351832636
Decline Push-Up,Strength,Chest,Body Only,Intermediate,0.736890359,15.75556146,0.472801462
Single-Arm Push-Up,Strength,Chest,Body Only,Beginner,0.84848846,12.82909002,0.372897879
Close push-up to wide push-up,Strength,Chest,Body Only,Intermediate,0.80954283,14.01953299,0.497967771
Wide-grip hands-elevated push-up,Strength,Chest,Body Only,Beginner,0.865812526,12.68289735,0.370293369
Push-Ups With Feet On An Exercise Ball,Strength,Chest,Body Only,Intermediate,0.612767483,14.03864714,0.489167778
Feet-elevated push-up,Strength,Chest,Body Only,Intermediate,0.773043087,15.15408309,0.620621948
Isometric Wipers,Strength,Chest,Body Only,Beginner,0.873245457,13.65185874,0.36666283
Clock push-up,Strength,Chest,Body Only,Beginner,0.916133289,12.72527705,0.32008602
Push-Up Wide,Strength,Chest,Body Only,Beginner,0.909485049,11.65494901,0.256608133
Sphinx push-up,Strength,Chest,Body Only,Intermediate,0.667014809,14.63946437,0.581249594
Close-Hands Push-Up,Strength,Chest,Body Only,Beginner,0.851729021,13.89094605,0.259824063
Tiger-bend push-up,Strength,Chest,Body Only,Beginner,0.83903632,13.98047699,0.411374792
Close-grip hands-elevated push-up,Strength,Chest,Body Only,Intermediate,0.723054253,15.01410043,0.509088609
Suspended push-up,Strength,Chest,Body Only,Intermediate,0.727250507,15.94666217,0.561397846
Push Up to Side Plank,Strength,Chest,Body Only,Intermediate,0.702680968,14.60756586,0.551138662
Side-to-side push-up,Strength,Chest,Body Only,Beginner,0.88679118,13.79058665,0.40300002
Typewriter push-up,Strength,Chest,Body Only,Beginner,0.857350307,12.71813048,0.438674855
Diamond push-up,Strength,Chest,Body Only,Intermediate,0.715021742,14.03270948,0.562511423
Judo push-up,Strength,Chest,Body Only,Beginner,0.898128186,13.45504052,0.435517804
Wide push-up,Strength,Chest,Body Only,Beginner,0.86875358,12.55735626,0.294587278
One-Arm Push-Up,Strength,Chest,Body Only,Beginner,0.922716999,12.99892242,0.387437313
Staggered push-up,Strength,Chest,Body Only,Beginner,0.908483867,13.65710512,0.352781
Reverse-grip hands-elevated push-up,Strength,Chest,Body Only,Beginner,0.914072407,13.14138272,0.419706341
Side kick-through push-up,Strength,Chest,Body Only,Intermediate,0.713354804,14.18325895,0.552189392
FYR Push-Up,Strength,Chest,Body Only,Intermediate,0.824567025,14.6406557,0.464789473
Frog push-up,Strength,Chest,Body Only,Intermediate,0.730739997,15.05488621,0.524491991
Wide push-up plank hold,Strength,Chest,Body Only,Intermediate,0.814679192,13.50026533,0.492906489
Close push-up,Strength,Chest,Body Only,Intermediate,0.750980262,16.26992515,0.510362641
Push-Up - Gethin Variation,Strength,Chest,Body Only,Intermediate,0.624768892,16.24392627,0.546727562
HM Incline Push-Up On Chair,Strength,Chest,Body Only,Intermediate,0.792805016,14.8096095,0.481993842
HM Push-Up,Strength,Chest,Body Only,Intermediate,0.716689119,14.09014078,0.521052755
HM Push-Plank,Strength,Chest,Body Only,Intermediate,0.762032221,14.95611389,0.410597948
AM Chest Dips,Strength,Chest,Body Only,Intermediate,0.805314255,15.88219456,0.557882064
Push-up,Strength,Chest,Body Only,Intermediate,0.746043801,14.71221414,0.515993062
UP Push-up,Strength,Chest,Body Only,Intermediate,0.759318008,14.52678498,0.590065772
